instance_id,n_agents,n_resolved,all_resolved,n_steps_mean,n_steps_range,n_steps_cv,n_edits_range,mean_pairwise_levenshtein,max_pairwise_levenshtein
astropy__astropy-12907,3,0,False,42.3333,23.0,0.2457,36.0,0.5111,0.6667
astropy__astropy-14182,3,0,False,44.0,30.0,0.3066,26.0,0.5334,0.6735
astropy__astropy-14365,3,0,False,18.3333,24.0,0.6047,3.0,0.5099,0.6957
astropy__astropy-14995,3,3,True,25.6667,42.0,0.7094,11.0,0.5655,0.75
astropy__astropy-6938,3,0,False,27.3333,18.0,0.2694,8.0,0.59,0.6944
astropy__astropy-7746,3,0,False,18.3333,10.0,0.2453,11.0,0.5282,0.65
django__django-10914,3,2,False,29.0,52.0,0.7716,34.0,0.5879,0.76
django__django-10924,3,0,False,35.6667,39.0,0.5028,22.0,0.5286,0.6774
django__django-11001,3,0,False,35.0,47.0,0.5776,26.0,0.7128,0.8077
django__django-11019,3,0,False,32.0,53.0,0.753,53.0,0.4345,0.4375
django__django-11039,3,3,True,32.0,43.0,0.549,22.0,0.7251,0.8846
django__django-11049,3,2,False,32.6667,33.0,0.4625,42.0,0.5641,0.6154
django__django-11099,3,3,True,14.6667,6.0,0.1701,3.0,0.4182,0.4545
django__django-11133,3,3,True,14.3333,1.0,0.0329,0.0,0.2821,0.3846
django__django-11179,3,1,False,39.0,58.0,0.6449,53.0,0.546,0.5862
django__django-11283,3,0,False,22.6667,23.0,0.4175,4.0,0.4711,0.6
django__django-11422,3,0,False,47.6667,40.0,0.3461,6.0,0.649,0.7083
django__django-11564,3,0,False,51.0,37.0,0.3331,32.0,0.4984,0.5526
django__django-11583,3,1,False,45.3333,58.0,0.5834,31.0,0.7351,0.9412
django__django-11620,3,0,False,39.6667,30.0,0.3308,36.0,0.5806,0.6667
django__django-11630,3,0,False,47.6667,41.0,0.3793,16.0,0.7188,0.766
django__django-11742,3,0,False,37.0,64.0,0.7225,27.0,0.7401,0.8846
django__django-11797,3,0,False,47.0,30.0,0.2623,15.0,0.5268,0.6111
django__django-11815,3,0,False,49.6667,40.0,0.3662,45.0,0.5439,0.6053
django__django-11848,3,0,False,38.3333,33.0,0.3998,21.0,0.5955,0.6429
django__django-11905,3,0,False,35.0,35.0,0.4469,47.0,0.7342,0.7778
django__django-11910,3,0,False,39.0,19.0,0.2186,14.0,0.6241,0.8077
django__django-11964,3,0,False,48.0,41.0,0.3636,38.0,0.5689,0.7458
django__django-11999,3,0,False,45.0,26.0,0.254,26.0,0.7146,0.8302
django__django-12113,3,0,False,46.6667,28.0,0.2579,30.0,0.7045,0.7955
django__django-12125,3,0,False,42.6667,52.0,0.5006,22.0,0.7581,0.8333
django__django-12184,3,0,False,27.3333,14.0,0.2415,14.0,0.726,0.8387
django__django-12284,3,0,False,44.3333,49.0,0.4804,18.0,0.6127,0.7424
django__django-12286,3,2,False,20.3333,18.0,0.3962,12.0,0.5402,0.7
django__django-12308,2,0,False,26.5,15.0,0.283,5.0,0.5152,0.5152
django__django-12453,3,3,True,30.3333,55.0,0.8121,17.0,0.7442,0.8776
django__django-12470,3,0,False,54.0,40.0,0.3124,27.0,0.7407,0.8704
django__django-12497,3,2,False,17.0,18.0,0.4632,4.0,0.4979,0.6154
django__django-12589,3,0,False,40.0,29.0,0.3208,15.0,0.6536,0.7358
django__django-12700,3,1,False,10.6667,6.0,0.2461,2.0,0.4942,0.6923
django__django-12708,3,1,False,23.0,10.0,0.1775,15.0,0.4444,0.5455
django__django-12747,3,0,False,49.6667,28.0,0.2527,35.0,0.6773,0.7857
django__django-12856,3,0,False,44.6667,17.0,0.1555,28.0,0.65,0.8125
django__django-12908,3,0,False,54.3333,28.0,0.2387,24.0,0.5888,0.6923
django__django-12915,3,0,False,39.0,41.0,0.4326,34.0,0.6032,0.7407
django__django-12983,3,2,False,15.0,14.0,0.3925,7.0,0.4667,0.65
django__django-13028,3,1,False,29.6667,29.0,0.4029,18.0,0.627,0.7222
django__django-13033,3,0,False,52.0,42.0,0.3397,13.0,0.6089,0.6949
django__django-13158,3,0,False,59.0,41.0,0.3128,19.0,0.6362,0.7857
django__django-13220,3,0,False,30.0,29.0,0.448,17.0,0.6261,0.7778
django__django-13230,3,1,False,31.3333,53.0,0.7828,24.0,0.7252,0.9184
django__django-13265,3,0,False,34.6667,59.0,0.7648,6.0,0.7746,0.8857
django__django-13315,2,0,False,44.0,42.0,0.4773,0.0,0.6538,0.6538
django__django-13321,3,0,False,19.6667,3.0,0.0634,9.0,0.5861,0.6154
django__django-13401,3,1,False,36.3333,38.0,0.4806,21.0,0.6027,0.7347
django__django-13447,3,3,True,18.6667,12.0,0.2673,3.0,0.5111,0.6667
django__django-13448,3,0,False,39.6667,39.0,0.424,28.0,0.6603,0.75
django__django-13551,3,0,False,25.0,18.0,0.315,4.0,0.5385,0.5769
django__django-13590,3,1,False,19.3333,32.0,0.6866,29.0,0.6741,0.8
django__django-13658,3,3,True,33.3333,63.0,0.8021,27.0,0.7865,0.9423
