rank,motif_tokens,length,frequency,motif_label
1,"EDIT_SRC_PY+EDIT_SRC_PY",2,208,"EDIT_SRC_PY->EDIT_SRC_PY"
2,"CREATE_REPRO_PY+EDIT_REPRO_PY+RUN_PYTHON_REPRO_PY",3,190,"CREATE_REPRO_PY->EDIT_REPRO_PY->RUN_PYTHON_REPRO_PY"
3,"FIND_FILE+FIND_FILE",2,189,"FIND_FILE->FIND_FILE"
4,"SEARCH+OPEN_SRC_PY",2,188,"SEARCH->OPEN_SRC_PY"
5,"OPEN_SRC_PY+SEARCH+NAV_SRC_PY",3,181,"OPEN_SRC_PY->SEARCH->NAV_SRC_PY"
6,"SEARCH+SEARCH",2,157,"SEARCH->SEARCH"
7,"FIND_FILE+OPEN_SRC_PY",2,156,"FIND_FILE->OPEN_SRC_PY"
8,"OPEN_SRC_PY+NAV_SRC_PY",2,146,"OPEN_SRC_PY->NAV_SRC_PY"
9,"SEARCH+OPEN_SRC_PY+SEARCH+NAV_SRC_PY",4,146,"SEARCH->OPEN_SRC_PY->SEARCH->NAV_SRC_PY"
10,"EDIT_SRC_PY+RUN_PYTHON_REPRO_PY",2,145,"EDIT_SRC_PY->RUN_PYTHON_REPRO_PY"
11,"SEARCH+NAV_SRC_PY",2,135,"SEARCH->NAV_SRC_PY"
12,"EDIT_SRC_PY+EDIT_SRC_PY+EDIT_SRC_PY+EDIT_SRC_PY",4,133,"EDIT_SRC_PY->EDIT_SRC_PY->EDIT_SRC_PY->EDIT_SRC_PY"
13,"SHELL_RM+SUBMIT",2,133,"SHELL_RM->SUBMIT"
14,"EDIT_SRC_PY+EDIT_SRC_PY+EDIT_SRC_PY",3,119,"EDIT_SRC_PY->EDIT_SRC_PY->EDIT_SRC_PY"
15,"FIND_FILE+OPEN_SRC_PY+SEARCH+NAV_SRC_PY",4,109,"FIND_FILE->OPEN_SRC_PY->SEARCH->NAV_SRC_PY"
16,"EDIT_SRC_PY+EDIT_SRC_PY+RUN_PYTHON_REPRO_PY",3,104,"EDIT_SRC_PY->EDIT_SRC_PY->RUN_PYTHON_REPRO_PY"
17,"EDIT_REPRO_PY+RUN_PYTHON_REPRO_PY",2,98,"EDIT_REPRO_PY->RUN_PYTHON_REPRO_PY"
18,"EDIT_SRC_PY+RUN_PYTHON_REPRO_PY+SHELL_RM+SUBMIT",4,93,"EDIT_SRC_PY->RUN_PYTHON_REPRO_PY->SHELL_RM->SUBMIT"
19,"OPEN_REPRO_PY+EDIT_REPRO_PY+RUN_PYTHON_REPRO_PY",3,91,"OPEN_REPRO_PY->EDIT_REPRO_PY->RUN_PYTHON_REPRO_PY"
20,"CREATE_TEST_PY+EDIT_TEST_PY",2,83,"CREATE_TEST_PY->EDIT_TEST_PY"
21,"CREATE_TEST_PY+EDIT_TEST_PY+RUN_PYTHON_TEST_PY",3,80,"CREATE_TEST_PY->EDIT_TEST_PY->RUN_PYTHON_TEST_PY"
22,"EDIT_TEST_PY+EDIT_TEST_PY",2,79,"EDIT_TEST_PY->EDIT_TEST_PY"
23,"NAV_SRC_PY+NAV_SRC_PY",2,79,"NAV_SRC_PY->NAV_SRC_PY"
24,"OPEN_SRC_PY+EDIT_SRC_PY",2,77,"OPEN_SRC_PY->EDIT_SRC_PY"
25,"EDIT_SRC_PY+RUN_PYTHON_TEST_PY",2,76,"EDIT_SRC_PY->RUN_PYTHON_TEST_PY"
26,"OPEN_TEST_PY+EDIT_TEST_PY",2,66,"OPEN_TEST_PY->EDIT_TEST_PY"
27,"EDIT_REPRO_PY+EDIT_REPRO_PY+RUN_PYTHON_REPRO_PY",3,66,"EDIT_REPRO_PY->EDIT_REPRO_PY->RUN_PYTHON_REPRO_PY"
28,"SHELL_CD+SHELL_CD",2,65,"SHELL_CD->SHELL_CD"
29,"SHELL_LS+SHELL_LS",2,64,"SHELL_LS->SHELL_LS"
30,"NAV_SRC_PY+EDIT_SRC_PY",2,62,"NAV_SRC_PY->EDIT_SRC_PY"
31,"EDIT_REPRO_PY+EDIT_REPRO_PY",2,61,"EDIT_REPRO_PY->EDIT_REPRO_PY"
