pattern,fix_type,support,co_count,p_ft_given_pat,base_rate,lift
ASSIGN → IF → WHILE,loop_fix,5,1,0.2,0.003,60.0
NUMBER → IDENTIFIER → ATTRIBUTE,async_fix,6,1,0.167,0.003,50.0
ATTRIBUTE → CALL → RETURN,async_fix,6,1,0.167,0.003,50.0
FOR → IF → FOR,loop_fix,6,1,0.167,0.003,50.0
NUMBER → ATTRIBUTE → NUMBER,async_fix,6,1,0.167,0.003,50.0
RETURN → IF → IMPORT,loop_fix,7,1,0.143,0.003,42.857
STRING_LITERAL → ATTRIBUTE → CALL,async_fix,7,1,0.143,0.003,42.857
STRING_LITERAL → CALL → RETURN,async_fix,7,1,0.143,0.003,42.857
RETURN → RETURN → ATTRIBUTE,async_fix,8,1,0.125,0.003,37.5
ATTRIBUTE → ATTRIBUTE → NUMBER,async_fix,9,1,0.111,0.003,33.333
ATTRIBUTE → NUMBER → ATTRIBUTE,async_fix,9,1,0.111,0.003,33.333
FROM → IMPORT → ASSIGN,loop_fix,9,1,0.111,0.003,33.333
CALL → RETURN → ATTRIBUTE,async_fix,10,1,0.1,0.003,30.0
ATTRIBUTE → NUMBER → IDENTIFIER,async_fix,10,1,0.1,0.003,30.0
RETURN → CALL → ATTRIBUTE,async_fix,10,1,0.1,0.003,30.0
ASSIGN → RETURN → IMPORT,loop_fix,10,1,0.1,0.003,30.0
IF → WHILE,loop_fix,10,1,0.1,0.003,30.0
ASSIGN → WHILE → IF,loop_fix,11,1,0.091,0.003,27.273
NUMBER → ATTRIBUTE → IDENTIFIER,async_fix,12,1,0.083,0.003,25.0
WHILE → IF,loop_fix,13,1,0.077,0.003,23.077
CALL → CALL → RETURN,async_fix,13,1,0.077,0.003,23.077
IDENTIFIER → ATTRIBUTE → NUMBER,async_fix,13,1,0.077,0.003,23.077
IF → RETURN → CALL,async_fix,14,1,0.071,0.003,21.429
IMPORT → ASSIGN → ASSIGN,loop_fix,15,1,0.067,0.003,20.0
IDENTIFIER → NUMBER → IMPORT,import_fix,5,1,0.2,0.01,20.0
RETURN → ATTRIBUTE → IDENTIFIER,async_fix,15,1,0.067,0.003,20.0
STRING_LITERAL → IF → IDENTIFIER,import_fix,5,1,0.2,0.01,20.0
IF → IDENTIFIER → IMPORT,import_fix,5,1,0.2,0.01,20.0
NUMBER → STRING_LITERAL → ASSIGN,import_fix,5,1,0.2,0.01,20.0
FROM → IF → IF,loop_fix,16,1,0.062,0.003,18.75
CALL → RETURN → CALL,async_fix,18,1,0.056,0.003,16.667
IDENTIFIER → RETURN → IF,loop_fix,18,1,0.056,0.003,16.667
IF → STRING_LITERAL → CALL,import_fix,6,1,0.167,0.01,16.667
IF → FOR → RETURN,loop_fix,18,1,0.056,0.003,16.667
RETURN → STRING_LITERAL → ASSIGN,async_fix,18,1,0.056,0.003,16.667
FOR → STRING_LITERAL → IDENTIFIER,import_fix,6,1,0.167,0.01,16.667
FOR → RETURN → RETURN,loop_fix,18,1,0.056,0.003,16.667
RETURN → IF → CALL,import_fix,6,1,0.167,0.01,16.667
NUMBER → NUMBER → CALL,import_fix,6,1,0.167,0.01,16.667
CALL → RETURN → RETURN,async_fix,19,1,0.053,0.003,15.789
CALL → ATTRIBUTE → STRING_LITERAL,async_fix,19,1,0.053,0.003,15.789
IDENTIFIER → NUMBER → NUMBER,import_fix,13,2,0.154,0.01,15.385
IF → CALL → STRING_LITERAL,test_fix,8,2,0.25,0.017,15.0
ATTRIBUTE → CALL → CALL,async_fix,20,1,0.05,0.003,15.0
