pattern,n_instances,pct_instances,example_instance
IMPORT → FROM,299,99.7,astropy__astropy-12907
FUNCTION → IDENTIFIER,299,99.7,astropy__astropy-12907
prompt → IMPORT,298,99.3,astropy__astropy-12907
IDENTIFIER → FUNCTION,295,98.3,astropy__astropy-12907
FUNCTION → IDENTIFIER → FUNCTION,295,98.3,astropy__astropy-12907
IDENTIFIER → FUNCTION → IDENTIFIER,295,98.3,astropy__astropy-12907
IMPORT → FROM → IMPORT,290,96.7,astropy__astropy-12907
FROM → IMPORT,290,96.7,astropy__astropy-12907
ASSIGN → ASSIGN,289,96.3,astropy__astropy-12907
FROM → IMPORT → FROM,285,95.0,astropy__astropy-12907
IDENTIFIER → ASSIGN,281,93.7,astropy__astropy-12907
IDENTIFIER → IDENTIFIER,279,93.0,astropy__astropy-12907
ASSIGN → ASSIGN → ASSIGN,266,88.7,astropy__astropy-12907
CLASS → IDENTIFIER,263,87.7,astropy__astropy-14182
ASSIGN → FUNCTION → IDENTIFIER,241,80.3,astropy__astropy-12907
ASSIGN → FUNCTION,241,80.3,astropy__astropy-12907
IMPORT → IMPORT,234,78.0,astropy__astropy-12907
IMPORT → IMPORT → FROM,233,77.7,astropy__astropy-12907
IDENTIFIER → STRING_LITERAL,224,74.7,astropy__astropy-12907
IDENTIFIER → ASSIGN → ASSIGN,215,71.7,astropy__astropy-12907
