retry_bucket,n,n_pass,pass_rate,model_id
0,123,26,0.21138211382113822,20240402_sweagent_gpt4
1-2,82,16,0.1951219512195122,20240402_sweagent_gpt4
3-5,34,6,0.17647058823529413,20240402_sweagent_gpt4
6-10,30,4,0.13333333333333333,20240402_sweagent_gpt4
11+,31,2,0.06451612903225806,20240402_sweagent_gpt4
0,81,29,0.35802469135802467,20240620_sweagent_claude3.5sonnet
1-2,96,26,0.2708333333333333,20240620_sweagent_claude3.5sonnet
3-5,58,8,0.13793103448275862,20240620_sweagent_claude3.5sonnet
6-10,32,4,0.125,20240620_sweagent_claude3.5sonnet
11+,22,2,0.09090909090909091,20240620_sweagent_claude3.5sonnet
